Artis Name,Number of tracks,Artis Name,Number of tracks,,
Choir Of Westminster Abbey & Simon Preston,1,,,,
Chicago Symphony Orchestra & Fritz Reiner,1,,,,
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",1,,,,
Charles Dutoit & L'Orchestre Symphonique de Montréal,1,,,,
Calexico,1,,,,
Cake,1,,,,
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1,,,,
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",1,,,,
Boston Symphony Orchestra & Seiji Ozawa,1,,,,
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1,,,,
Berliner Philharmoniker & Hans Rosbaud,1,,,,
Barry Wordsworth & BBC Concert Orchestra,1,,,,
Aquaman,1,,,,
Antal Doráti & London Symphony Orchestra,1,,,,
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1,,,,
Alberto Turco & Nova Schola Gregoriana,1,,,,
Adrian Leaper & Doreen de Feis,1,,,,
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1,,,,
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1,,,,
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1,,,,
Aaron Goldberg,1,,,,
Aaron Copland & London Symphony Orchestra,1,,,,
